Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Letter
2025-01-23 15:25:31.577,-225, -7, 976, -1, -4, 0, 3, -1, -2,a
2025-01-23 15:25:31.667,-221, -12, 979, -1, -3, -1, 2, 1, -2,a
2025-01-23 15:25:31.774,-219, -8, 973, -1, -2, -2, 0, 0, -1,a
2025-01-23 15:25:31.884,-215, -13, 973, -1, -6, -2, 2, -1, -1,a
2025-01-23 15:25:31.987,-206, -15, 981, -2, -3, -1, 0, 1, 0,a
2025-01-23 15:25:32.093,-203, -15, 979, -1, 0, -1, -2, 1, 0,a
2025-01-23 15:25:32.204,-208, -16, 976, -1, -2, -1, 1, -1, -1,a
2025-01-23 15:25:32.306,-202, -10, 980, -2, -4, 0, 0, 1, -1,a
2025-01-23 15:25:32.413,-194, -18, 991, -1, -2, 2, 1, 1, -1,a
2025-01-23 15:25:32.523,-210, -10, 982, -1, 11, 2, 1, -1, -3,a
2025-01-23 15:25:32.626,-241, -17, 971, 0, 16, 1, 1, 1, 0,a
2025-01-23 15:25:32.733,-253, -10, 962, -1, 10, 1, 3, 1, -1,a
2025-01-23 15:25:32.839,-278, -5, 950, -1, -2, -1, 3, 1, 0,a
2025-01-23 15:25:32.949,-233, -20, 960, -2, -48, -4, 0, 0, 1,a
2025-01-23 15:25:33.056,-164, 7, 981, -9, -39, 2, -2, 0, -2,a
2025-01-23 15:25:33.162,-77, -34, 987, 7, -43, 3, -2, 0, -4,a
2025-01-23 15:25:33.265,24, 5, 993, -2, -44, 7, -3, 0, -4,a
2025-01-23 15:25:33.375,31, 3, 993, -13, 0, -12, -8, -1, -4,a
2025-01-23 15:25:33.482,37, -11, 1000, -1, -1, -1, -4, -1, -5,a
2025-01-23 15:25:33.588,32, -10, 998, -1, -1, 0, -7, -1, -6,a
2025-01-23 15:25:33.695,33, -11, 995, -1, -1, -1, -7, 1, -3,a
2025-01-23 15:25:33.801,40, -8, 993, -1, -1, -1, -6, 0, -4,a
2025-01-23 15:25:33.908,30, -13, 998, -1, -1, -1, -5, -1, -5,a
2025-01-23 15:25:34.014,38, -13, 1001, -1, -1, -1, -6, -1, -3,a
2025-01-23 15:25:34.121,31, -8, 998, -1, -1, -1, -7, 0, -4,a
2025-01-23 15:25:34.227,34, -10, 999, -1, -1, 0, -6, 0, -6,a
2025-01-23 15:25:34.330,35, 3, 1002, 1, -1, -1, -7, 1, -3,a
2025-01-23 15:25:34.440,39, -7, 995, -2, -1, -1, -6, -1, -5,a
2025-01-23 15:25:34.547,40, -7, 999, -1, -1, -1, -6, -1, -5,a
2025-01-23 15:25:34.653,37, -7, 998, -1, -1, -1, -7, 0, -3,a
2025-01-23 15:25:34.760,32, -6, 997, -1, -1, -1, -7, -1, -3,a
2025-01-23 15:25:34.866,35, -8, 997, -1, -1, -1, -5, -1, -4,a
2025-01-23 15:25:34.973,35, -8, 998, -1, -1, -1, -7, 0, -5,a
2025-01-23 15:25:35.079,34, -9, 998, -1, -1, -1, -6, -1, -4,a
2025-01-23 15:25:35.186,36, -6, 998, -1, -1, -1, -5, 0, -4,a
2025-01-23 15:25:35.292,36, -8, 995, -1, -1, -1, -5, -1, -4,a
2025-01-23 15:25:35.399,34, -9, 999, -1, -1, -1, -5, -2, -5,a
2025-01-23 15:25:35.505,31, -7, 997, -1, -1, -1, -5, 1, -4,a
2025-01-23 15:25:35.611,34, -10, 992, -1, -1, 0, -7, 0, -4,a
2025-01-23 15:25:35.718,31, -5, 996, -1, -1, 0, -6, -2, -3,a
2025-01-23 15:25:35.825,33, -11, 999, -1, -1, -1, -5, 1, -4,a
2025-01-23 15:25:35.932,33, -8, 998, -1, -1, 0, -6, 1, -5,a
2025-01-23 15:25:36.037,34, -6, 999, -1, -1, -1, -6, 0, -4,a
2025-01-23 15:25:36.144,35, -6, 1002, -1, -1, -1, -6, -2, -4,a
2025-01-23 15:25:36.251,36, -12, 1002, -1, -1, 0, -7, -1, -3,a
2025-01-23 15:25:36.357,32, -10, 990, -1, -1, -1, -6, -1, -4,a
2025-01-23 15:25:36.464,32, -8, 996, -1, -1, 0, -6, 0, -6,a
2025-01-23 15:25:36.570,37, -9, 1000, -1, 0, -1, -6, 0, -5,a
2025-01-23 15:25:36.677,35, -8, 993, -1, -1, -1, -8, -1, -6,a
2025-01-23 15:25:36.783,39, -9, 1001, -1, 0, 0, -4, -1, -3,a
2025-01-23 15:25:36.889,32, -9, 995, -1, -1, -1, -7, 1, -4,a
2025-01-23 15:25:36.996,33, -9, 997, -1, -1, -1, -7, 0, -4,a
2025-01-23 15:25:37.105,34, -11, 997, 0, -1, -1, -6, 0, -6,a
2025-01-23 15:25:37.213,34, -21, 1002, 0, -1, -1, -5, -1, -3,a
2025-01-23 15:25:37.315,35, -11, 998, -1, 0, -1, -6, 0, -4,a
2025-01-23 15:25:37.422,32, -9, 998, -1, -1, -1, -5, 0, -5,a
2025-01-23 15:25:37.528,33, -12, 1001, -1, -1, 0, -7, 0, -3,a
2025-01-23 15:25:37.635,35, -7, 995, -1, -1, -1, -6, 0, -5,a
2025-01-23 15:25:37.745,35, -6, 999, -1, -1, -1, -6, -2, -6,a
2025-01-23 15:25:37.852,36, -6, 997, -1, -1, -1, -6, -3, -4,a
2025-01-23 15:25:37.958,35, -10, 995, -1, -1, 0, -7, -1, -3,a
2025-01-23 15:25:38.065,35, -11, 998, -1, -1, -1, -5, 0, -6,a
2025-01-23 15:25:38.171,37, -6, 995, -1, -1, -1, -5, -1, -5,a
2025-01-23 15:25:38.274,38, -7, 998, -2, -1, -1, -6, 0, -3,a
2025-01-23 15:25:38.384,33, -10, 1000, 0, -1, -1, -5, 0, -4,a
2025-01-23 15:25:38.491,34, -19, 991, -1, -1, -1, -6, 0, -5,a
2025-01-23 15:25:38.593,36, -8, 1000, -1, -1, 0, -7, 0, -3,a
2025-01-23 15:25:38.700,38, -9, 1000, -1, 0, 0, -5, 0, -5,a
2025-01-23 15:25:40.723,34, -11, 994, -1, -1, 0, -5, 0, -3,b
2025-01-23 15:25:40.817,31, -7, 985, -1, -1, -1, -7, -1, -4,b
2025-01-23 15:25:40.924,37, -10, 999, -1, -1, -1, -6, -1, -4,b
2025-01-23 15:25:41.030,34, -13, 1006, -1, -1, 0, -6, 1, -5,b
2025-01-23 15:25:41.137,31, -12, 998, -1, -1, -1, -8, -1, -3,b
2025-01-23 15:25:41.243,36, -8, 993, -1, -1, -1, -5, -1, -5,b
2025-01-23 15:25:41.350,33, -16, 999, -1, -1, -1, -5, -1, -4,b
2025-01-23 15:25:41.456,38, -11, 1004, -1, -1, -1, -6, 1, -4,b
2025-01-23 15:25:41.559,35, -7, 999, -1, -1, 0, -5, 0, -5,b
2025-01-23 15:25:41.669,35, -13, 1000, -1, -1, 0, -6, -2, -5,b
2025-01-23 15:25:41.772,38, -8, 996, -1, -1, 0, -7, 0, -4,b
2025-01-23 15:25:41.882,33, -13, 1000, -1, -1, -1, -7, -1, -3,b
2025-01-23 15:25:41.989,31, -10, 994, -1, -1, -1, -5, -1, -5,b
2025-01-23 15:25:42.095,35, -16, 997, -1, -1, 0, -7, 1, -4,b
2025-01-23 15:25:42.202,34, -11, 1000, -1, -1, 0, -6, -1, -3,b
2025-01-23 15:25:42.308,36, -11, 997, -1, -1, 0, -5, -1, -4,b
2025-01-23 15:25:42.415,34, -11, 1000, -1, -1, -1, -5, -1, -5,b
2025-01-23 15:25:42.525,33, -12, 1000, -1, -1, -1, -6, -1, -4,b
2025-01-23 15:25:42.628,30, -10, 1000, -1, -1, 0, -5, 0, -4,b
2025-01-23 15:25:42.734,36, -9, 1003, -1, -1, -1, -6, 0, -3,b
2025-01-23 15:25:42.841,32, -4, 999, -1, -1, -1, -6, 0, -2,b
2025-01-23 15:25:42.947,34, -15, 998, -1, -1, 0, -6, -1, -4,b
2025-01-23 15:25:43.054,34, -9, 998, -1, -1, -1, -4, 0, -6,b
2025-01-23 15:25:43.160,37, -8, 996, -1, -1, 0, -6, 0, -3,b
2025-01-23 15:25:43.267,35, -8, 1001, -1, -1, 0, -5, 0, -3,b
2025-01-23 15:25:43.373,33, -14, 995, -1, -1, -1, -5, 0, -5,b
2025-01-23 15:25:43.480,35, -20, 998, -1, -1, -1, -7, 0, -3,b
2025-01-23 15:25:43.590,36, -12, 999, -1, -1, -1, -5, -1, -5,b
